"uni_cod";"a_a";"laurea_nome";"laurea_tipo";"laurea_classe_cod";"curr_nome";"materia_nome";"materia_ssd_cod";"materia_cfu";"curr_materia_anno";"curr_materia_periodo";"modulo_nome";"sub_modulo_gruppo";"sub_modulo_nome";"modulo_cfu";"modulo_periodo";"insegnamento_prof";"insegnamento_prof_www";"isbn";"autori";"curatori";"traduttori";"titolo";"editore";"edizione";"anno_pub";"tipo_copertina";"pagg";"lingua";"prezzo";"testo_obb";"testo_uso";"testo_freq";"laurea_iscritti";"laurea_matricole"
"unipd";2020;"LINGUE MODERNE PER LA COMUNICAZIONE E LA COOPERAZIONE INTERNAZIONALE";"LM";"LM-38";"PERCORSO COMUNE";"STORIA DELLE RELAZIONI INTERNAZIONALI (INIZIALI COGNOME A-L)";"SPS/06";"6";"1";"1";"";"";"";"";"";"Elena Calandri";"https://didattica.unipd.it/off/docente/112EE6A89D1312F51A731D5182AC28FC";"9788815278005";"Marcello Flores, Giovanni Gozzini";"";"";"1968. Un anno spartiacque";"Il Mulino";"";"2018";"Brossura";"279";"Italiano";22.00;"obb";"tutto";"non freq";304;125
"unipd";2020;"SCIENZE POLITICHE, RELAZIONI INTERNAZIONALI, DIRITTI UMANI";"L";"L-36";"PERCORSO COMUNE";"STORIA DELLE RELAZIONI INTERNAZIONALI (INIZIALI COGNOME A-L)";"SPS/06";"9";"1";"1";"";"";"";"";"";"Elena Calandri";"https://didattica.unipd.it/off/docente/112EE6A89D1312F51A731D5182AC28FC";"9788815278005";"Marcello Flores, Giovanni Gozzini";"";"";"1968. Un anno spartiacque";"Il Mulino";"";"2018";"Brossura";"279";"Italiano";22.00;"obb";"tutto";"non freq";1454;520
"unive";2020;"RELAZIONI INTERNAZIONALI COMPARATE - COMPARATIVE INTERNATIONAL RELATIONS";"LM";"LM-52";"AMERICHE";"STORIA DELLE RELAZIONI INTERNAZIONALI";"SPS/06";"6";"1";"1";"";"";"";"";"";"Basosi Duccio";"https://www.unive.it/data/persone/5592555";"9780807859582";"Vladislav M. Zubok";"";"";"A Failed Empire: The Soviet Union in the Cold War from Stalin to Gorbachev";"The University of North Carolina Press";"";"2009";"Brossura";"504";"Inglese";39.06;"in alt";"tutto";"non freq";406;168
"unive";2020;"RELAZIONI INTERNAZIONALI COMPARATE - COMPARATIVE INTERNATIONAL RELATIONS";"LM";"LM-52";"ASIA ORIENTALE";"STORIA DELLE RELAZIONI INTERNAZIONALI";"SPS/06";"6";"1";"1";"";"";"";"";"";"Basosi Duccio";"https://www.unive.it/data/persone/5592555";"9780807859582";"Vladislav M. Zubok";"";"";"A Failed Empire: The Soviet Union in the Cold War from Stalin to Gorbachev";"The University of North Carolina Press";"";"2009";"Brossura";"504";"Inglese";39.06;"in alt";"tutto";"non freq";406;168
"unive";2020;"RELAZIONI INTERNAZIONALI COMPARATE - COMPARATIVE INTERNATIONAL RELATIONS";"LM";"LM-52";"EUROPA ORIENTALE";"STORIA DELLE RELAZIONI INTERNAZIONALI";"SPS/06";"6";"1";"1";"";"";"";"";"";"Basosi Duccio";"https://www.unive.it/data/persone/5592555";"9780807859582";"Vladislav M. Zubok";"";"";"A Failed Empire: The Soviet Union in the Cold War from Stalin to Gorbachev";"The University of North Carolina Press";"";"2009";"Brossura";"504";"Inglese";39.06;"in alt";"tutto";"non freq";406;168
"unive";2020;"RELAZIONI INTERNAZIONALI COMPARATE - COMPARATIVE INTERNATIONAL RELATIONS";"LM";"LM-52";"EUROPEAN UNION STUDIES";"HISTORY OF INTERNATIONAL RELATIONS";"SPS/06";"6";"1";"1";"";"";"";"";"";"Basosi Duccio";"https://www.unive.it/data/persone/5592555";"9780807859582";"Vladislav M. Zubok";"";"";"A Failed Empire: The Soviet Union in the Cold War from Stalin to Gorbachev";"The University of North Carolina Press";"";"2009";"Brossura";"504";"Inglese";39.06;"cons";"tutto";"non freq";406;168
"unive";2020;"RELAZIONI INTERNAZIONALI COMPARATE - COMPARATIVE INTERNATIONAL RELATIONS";"LM";"LM-52";"GLOBAL STUDIES";"HISTORY OF INTERNATIONAL RELATIONS";"SPS/06";"6";"1";"1";"";"";"";"";"";"Basosi Duccio";"https://www.unive.it/data/persone/5592555";"9780807859582";"Vladislav M. Zubok";"";"";"A Failed Empire: The Soviet Union in the Cold War from Stalin to Gorbachev";"The University of North Carolina Press";"";"2009";"Brossura";"504";"Inglese";39.06;"cons";"tutto";"non freq";406;168
"unibo";2020;"INTERDISCIPLINARY RESEARCH AND STUDIES ON EASTERN EUROPE";"LM";"LM-52";"COURSE STRUCTURE DIAGRAMS FOR STUDENTS ENROLLED A.Y. 2019/2020";"STATE BUILDING, NATIONALISM AND DEVELOPMENT IN EASTERN EUROPE (I.C.)";"SPS/06";"8";"1";"1";"STATE BUILDING AND NATIONALISM";"";"";"4";"1";"Stefano Bianchini";"https://www.unibo.it/sitoweb/stefano.bianchini/en";"9780253000972";"Barbara Evans Clements";"";"";"A History of Women in Russia: From Earliest Times to the Present";"Indiana University Press";"";"2012";"Cartonato";"386";"Inglese";0.00;"obb";"tutto";"tutti";66;27
"unibo";2020;"INTERDISCIPLINARY RESEARCH AND STUDIES ON EASTERN EUROPE";"LM";"LM-52";"COURSE STRUCTURE DIAGRAMS FOR STUDENTS ENROLLED A.Y. 2020/2021";"STATE BUILDING, NATIONALISM AND DEVELOPMENT IN EASTERN EUROPE (I.C.)";"SPS/06";"8";"1";"1";"STATE BUILDING AND NATIONALISM";"";"";"4";"1";"Stefano Bianchini";"https://www.unibo.it/sitoweb/stefano.bianchini/en";"9780253000972";"Barbara Evans Clements";"";"";"A History of Women in Russia: From Earliest Times to the Present";"Indiana University Press";"";"2012";"Cartonato";"386";"Inglese";0.00;"obb";"tutto";"tutti";66;27
"unifi";2020;"SCIENZE POLITICHE";"L";"L-36";"STUDI INTERNAZIONALI";"MEDITERRANEO E MEDIO ORIENTE. MIGRAZIONI, ISLAM E PETROLIO";"SPS/06";"6";"3";"2";"";"";"";"";"";"Tonini  Alberto";"https://www.unifi.it/p-doc2-2020-0-A-2b333b323729-0.html";"9780813349800";"Martin Bunton, William Cleveland";"";"";"A History of the Modern Middle East";"Westview Press";"6";"2016";"Brossura";"624";"Inglese";0.00;"cons";"tutto";"tutti";1376;458
