testo_editore,count
"",6
 Agorà & Co,12
 Artech House,33
 Associação Nacional de Pós Graduação,1
 CIE Inversiones Editoriales Dossat-2000,1
 Catedra,90
 Centro de Estudios Políticos,1
 Comunicación Social Ediciones,1
 Cornelsen Verlag,1
 Cra - Consiglio per la Ricerca,1
 De Bolsillo,6
 Delhi. Facsimile Publisher,1
 Español Santillana Universidad,1
 Orient BlackSwan,4
 Presses de l'École Nationale des Ponts ,2
 Presses du Réel,1
 Publications Office of the European,1
 Royal Academy of Arts / Weidenfeld,1
 Russkij jazyk kursy,13
 The Center for the Study of Language,1
"""Detskaja literatura"", Leningradskoe",1
10 X 18 Éditions,6
1088 Press,2
12th Media Services,1
199eBook.com,1
2010 uitgevers,1
21 Editore,5
22 Publishing,5
24marzo.it,1
3A Corporation,3
3D Hubs B.V.,1
40due Edizioni,4
4Myeloma Press,1
4site Press,1
5 Continents Editions,12
66th and 2nd,8
7 Letras,1
:duepunti,8
A & T,1
A Book Apart,7
A Esfera dos Livros,1
A R J M Lloyd,1
A la Baconnière,2
A più G,1
A&A Farmar,1
A+T Architecture Publishers,8
A. Bagel,2
A. mondadori scuola,1
A.Ge.I.,1
A.S. Macor editori,1
AAAP Inc.,1
AACC Press,1
AAHA.American Animal Hospital,1
AAM Editions,1
AARBA,2
AASHTO,1
ABC-CLIO,2
ABEditore,1
ACC Distribution,1
ACL Editions du Kangourou,1
ACL Editions du Kangourou – Italia,1
ACLS Humanities E-Book,5
ACM Association for Computing Machinery,5
ACME,1
ACMRS Press,1
ACS American Chemical Society,5
ACTEX Publications,2
ADC Group,1
ADD Editore,17
AEB,2
AEG-Telefunken,1
AFAS,1
AFFILATED EAST-WEST PRESS PVT LTD.,1
AFRHC,1
AGE D HOMME,1
AGONE,1
AGRA Rai Libri,1
AIAA,7
AIAA American Institute of Aeronautics,42
AIAC Associazione Italiana Architettura,1
AIAP,1
AIB Associazione Italiana Biblioteche,31
AIC - The Photographic Materials Group,1
AICC Ass. It. Cult. Castrovillari,1
AIChE,1
AIDI - Ediplan,1
AIDIC Servizi,2
AIM,9
AIM Associazione italiana di metallurgia,2
AIMC,1
AIPB. Associazione Italiana Private,1
AIRESPSA,1
AISPI,1
AItLA - Associazione Italiana di,1
AKALA|#AKAL,1
ALFA-OMEGA,1
ALNAP,1
AM&D,1
AMLBook,1
AMOLCA,1
ANDI,1
ANKAMA,1
ANNA-American Nephrology Nursing,1
ANPA,1
ANU Australian National University Press,4
AOCS Publishing,1
APA American Psychological Association,10
APHA American Public Health Association,2
AQM,8
ARCHEO,1
ARCHEOLOG CAIRE,4
ARNOLDSCHE,1
ARPA Sicilia,1
ARSAG,1
ART BOOKS EDICIONES SAS,1
ARTHAUD,1
ASAL,1
ASCE American Society of Civil Engineers,1
ASEFI,2
ASHRAE,4
ASHRAE - American Society of Heating,2
"ASHRAE. American Society of Heating,",1
ASM International,24
ASM International(OH),1
ASME American Society of Mechanical Engineers,2
ASPRS - American Society for,1
ATHELSTAN PUBN,1
ATILF/SLR,1
ATP American Technical Publisher,1
ATS Giacomo Catalani Editore,1
ATì Editore,4
AUSA,1
AV,2
AVA Publishing,11
AVE,7
Aache Ediciones,1
Aakar Books,1
Aalto University,2
Aarhus University Press,7
Abaco Edizioni,1
"Abacus Little, Brown Book Group",6
Abada Editores,1
Abadía de Silos,1
Abbazia San Benedetto Seregno,1
Abbeville Press,1
Abegg-Stiftung,1
Abhinav Publication,1
Abingdon Press,1
Abitare Segesta,8
Aboca Edizioni,5
Abrams Books,13
Academia,7
Academia Nacional de Medicina,1
Academia Norteamericana de la Lengua,1
Academia Press,3
Academia Universa Press,9
Academia Verlag,6
Academia Verlag Richarz Gmbh,2
Academia del Hispanismo,2
Academic Cell Elsevier,3
Academic Press Elsevier,86
Academic Press Elsevier ,337
Academic Printing and Publishing,1
Academic Studies Press (ASP),1
Academica Pr Llc,1
Academy of Nutrition and Dietetics,1
Académie Royale de Belgique,1
Acantilado,3
Accademia Degli Intronati,1
Accademia Filarmonica Verona,1
Accademia Italiana di Scienze Forestali,1
Accademia Ligure di Scienze,1
Accademia Naz. Scienze XL,1
Accademia Naz. di S. Cecilia,1
Accademia Nazionale dei Lincei,9
Accademia Nazionale dei Lincei-Bardi,2
Accademia Nazionale di Medicina,1
Accademia Nazionale di San Luca,2
Accademia Nazionale di Santa Cecilia,1
Accademia Olimpica,1
Accademia Polacca delle Scienze,2
"Accademia Polacca delle Scienze,",1
Accademia Properziana del Subasio,1
Accademia Raffaello,2
Accademia Scienze Forestali,2
Accademia University Press,30
Accademia Vivarium Novum,4
Accademia della Crusca,7
Accademia della Crusca - Gruppo GEDI,1
Accademia delle Scienze,1
Accademica,6
Acco Uitgeverij België,1
"AccountingTools, Inc.",1
Acme (Viterbo),1
Acocella Alfonso,2
Acoustical Society of America,1
Acquaviva,1
Acta Medica Edizioni,1
Actar Publisher,32
Actes Sud,20
Actes Sud Sindbad,1
Action Books,1
Action Group,1
Active Learning Publishers,1
Actors World Production Ltd,1
Acumen Publishing,1
Ad maiora,1
Adalta,1
Adamant Media Corporation,1
Adams Press,2
Adaso Adastra Engineering Center,2
Adda,6
Addison Wesley – Pearson,141
AddisonWesley Professional,1
Adelphi,511
Adis,1
Adis International,1
Adle,1
Admira,1
Adobe Press,3
Adolf M. Hakkert,3
Adriana Hidalgo,2
Adriana Hidalgo Editora,1
Adriatica,1
Adriatica Divisione Arte,1
Aduana Vieja,1
Advance Pub,1
Advanced Building Skins GmbH,1
Advanced Reasoning Forum,1
Aegaeum,1
Aemilia University Press,1
Aemme Publishing,3
Aeneas Technical Publishers,1
Aerospace Corp,1
Aesthetica,27
Afrontamento,1
Afterall Books,7
Agenda Publishing,3
Agenzia Il Segnalibro,1
Agenzia X,4
Agenzia dell’Unione europea per i,1
Agici Publishing,1
Agora Pocket,3
Agorà & Co,3
Agra,6
Agriculture & Natural Resources,1
Agrimedia,1
Aguaplano,3
Aguilar,5
Aia Pr,1
Aicarr,3
Aiep,4
Aims Intl Books Corp,1
Aipsa,1
Airali,2
Aisthesis,1
Aix-en-Provence. Narration,1
Aión,21
Ajuntament de Barcelona. Museu,1
Ak Press,2
Akademia,1
Akademiai Kiado,1
Akademie Verlag,4
Akal,1
Akashic Books,1
Akcent,1
Akropolis Libri,1
"Akropolis, Nakladatelstvi",4
Akros,2
Aksant Academic Publishers,1
Al Hikma,1
Al Saqi,1
Al-Borak.,1
Al-Furqan Islamic Heritage Foundation.,1
Alameda Editorial,2
Alber Karl,1
Alber/Thesen,1
Albert Bonniers Förlag,1
Alberti,1
Alberto Perdisa Editore,4
Albin Michel,23
AlboVersorio,6
Alboran Science Publishing,1
Alcobendas,1
Aldenia Edizioni,1
Aldine Transaction,1
Alea,6
Aleph Book Company,1
Alessandro Berardinelli,1
Alet Edizioni,3
Aletheia,4
Alex Graham Bell Assn for Deaf,1
Alexander Graham Bell Association,1
Alfaguara,23
Alfarroba,1
Alfred Knopf,7
Alfred Kröner Verlag,1
Alfredo Ferrero Editore,1
Algra,1
Alhambra Longman,1
Alhoda,1
Ali Ribelli Edizioni,1
Alianza Editorial,32
Alias,1
Aliberti,3
Alinari,4
Alinari 24 Ore,1
Alinea Editrice,218
Alinea-SAIE,1
Alire,1
All Around,1
All'Insegna del Giglio,70
All'Insegna del Pesce d'Oro,1
Allard Coles,1
Allen & Unwin,5
Allen Lane,2
Allergan Humphrey,1
Allied Books,1
Allison & Busby,1
Allori,1
Allworth Press,5
Alma,5
Alma Books,2
AlmaDL – Alma Mater Studiorum Università,2
Almadia,1
Almedina,3
Almutawassit,6
